,cost,target,path,target_index,vis3-angle,max-lo-fvis,max-la-fvis,max-lb-fvis,max-lm-fvis,ratio-lo-fvis,ratio-la-fvis,ratio-lb-fvis,ratio-lm-fvis,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo,ratio-lo-fcombo,ratio-la-fcombo,ratio-lb-fcombo,ratio-lm-fcombo,max-lo-fog,max-la-fog,max-lb-fog,max-lm-fog,ratio-lo-fog,ratio-la-fog,ratio-lb-fog,ratio-lm-fog
925,82019.0,"(1035, 567)","[(104, 477), (240, 506), (349, 521), (435, 525), (502, 519), (553, 507), (592, 491), (623, 474), (650, 457), (676, 443), (706, 435), (743, 435), (790, 446), (852, 470), (932, 509), (1035, 567)]",3,"[0, 0, 0, 0, 0, 31.033493130648875, 33.87659461306956, 36.28349594506368, 75.24110447017627, 78.98574954687066, 82.18306538962753, 84.76653774765605, 86.5670344130674, 87.69538791903652, 88.18023667110441, 88.03128509223856]",0.27179579109212637,0.27030046047857764,0.27054401213274426,0.2704120184238277,0.25095352789274306,0.24957286452290864,0.24979773977425684,0.24967586781009157,0.27179579109212637,0.2705311679577325,0.2709786676898673,0.27082535240063454,0.2507038322137434,0.2495373466518267,0.24995011940783593,0.24980870172659386,0.27298224917583475,0.27298224917583475,0.27298224917583475,0.27298224917583475,0.25,0.25,0.25,0.25
926,131065.0,"(1035, 567)","[(104, 477), (229, 425), (352, 377), (470, 334), (582, 298), (686, 269), (782, 247), (868, 235), (943, 232), (1005, 240), (1052, 260), (1085, 293), (1101, 339), (1099, 399), (1077, 475), (1035, 567)]",3,"[0, 0, 0, 38.149572343972594, 91.23405134259167, 102.63834001255677, 110.40329045372594, 115.16355396924197, 117.81824026165262, 58.48177969278852, 117.69671852192465, 115.23736805108982, 111.23404241377003, 105.55384170775733, 97.86265138539753, 88.03128509223856]",0.24807034571947817,0.23844429063507416,0.24113724802482014,0.23968526874857168,0.2564466224804118,0.24649553660174212,0.24927942366845732,0.24777841724938884,0.24807034571947817,0.23679313864904786,0.2420314826119495,0.2394795654228779,0.25670207295564,0.24503247003017373,0.2504530846958707,0.24781237231831552,0.25431296487125016,0.25431296487125016,0.25431296487125016,0.25431296487125016,0.25,0.25,0.25,0.25
927,111211.0,"(1035, 567)","[(104, 477), (213, 457), (291, 435), (344, 413), (378, 392), (397, 373), (408, 356), (416, 345), (426, 339), (445, 340), (477, 349), (528, 368), (604, 398), (710, 440), (851, 496), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37.35733242142547, 38.67330324039938, 40.16613047326938, 81.88693390514224, 84.99043645643458, 88.03128509223856]",0.2720515024860576,0.270425976685807,0.27057774219361996,0.270461548545072,0.2510819491132705,0.24958171778746943,0.2497217853083676,0.2496145477908924,0.2720515024860576,0.27366417328366294,0.27092075546543715,0.27096960995529673,0.25013791040391775,0.25162068149614175,0.24909824440557266,0.24914316369436781,0.27314958515739146,0.27314958515739146,0.27314958515739146,0.27314958515739146,0.25,0.25,0.25,0.25
928,93657.0,"(1035, 567)","[(104, 477), (216, 414), (325, 372), (429, 349), (528, 343), (621, 350), (708, 367), (786, 393), (856, 424), (916, 458), (967, 492), (1006, 523), (1033, 549), (1047, 566), (1048, 573), (1035, 567)]",3,"[0, 0, 0, 0, 40.540023574622964, 86.64960822318281, 90.66046321013704, 92.33133779431577, 92.76051765657456, 92.33133779431577, 91.52835979817357, 90.52333700346603, 89.483568044566, 88.67082304569396, 88.12566896502261, 88.03128509223856]",0.2677744598004477,0.26516317101396275,0.265552767844214,0.2653319475169399,0.2517097528201917,0.2492551241917628,0.2496213477737846,0.24941377521426095,0.2677744598004477,0.26362720921173394,0.26477488295484747,0.2642502166599204,0.2525157490574899,0.24860482308748288,0.24968709842894712,0.24919232942608005,0.2693024681411558,0.2693024681411558,0.2693024681411558,0.2693024681411558,0.25,0.25,0.25,0.25
929,111003.0,"(1035, 567)","[(104, 477), (292, 547), (439, 595), (551, 622), (633, 633), (691, 630), (728, 616), (751, 596), (765, 571), (774, 546), (785, 524), (801, 508), (830, 501), (874, 506), (941, 527), (1035, 567)]",3,"[0, 0, 0, 0, 0, 31.19250859577098, 33.31227327572775, 68.58980920890761, 71.98573555815443, 75.06113748620703, 78.01395772899384, 80.69510779516287, 83.22986386987138, 85.32427450474685, 86.96007937069587, 88.03128509223856]",0.2718301920083056,0.2705679366782363,0.27071956416162213,0.27062749713805007,0.25082481981928195,0.2496601038493911,0.2498000144896291,0.2497150618416979,0.2718301920083056,0.27088071425406296,0.2711397809023354,0.27103496523189013,0.2505611456910802,0.2496859587511984,0.24992475502221567,0.24982814053550573,0.2729048544122624,0.2729048544122624,0.2729048544122624,0.2729048544122624,0.25,0.25,0.25,0.25
930,107199.0,"(1035, 567)","[(104, 477), (266, 466), (411, 457), (540, 451), (653, 448), (751, 447), (835, 449), (904, 453), (960, 459), (1004, 468), (1035, 479), (1055, 492), (1065, 508), (1064, 525), (1054, 545), (1035, 567)]",3,"[0, 0, 0, 33.68049915689345, 76.5561835097709, 83.93868365505783, 88.92541885595037, 92.22997421259208, 94.35418165692622, 95.47764950630096, 95.7918586372621, 95.4573878843819, 94.45959434002376, 92.9360369782691, 90.77647803083346, 88.03128509223856]",0.2644796659066281,0.26099297168671914,0.26158374021765823,0.2612573411614064,0.2522905701986605,0.2489645675366647,0.24952810927063934,0.24921675299403565,0.2644796659066281,0.26222808025421496,0.26345198005823406,0.26288925113198264,0.25115609206698586,0.2490179335379524,0.25018017748893917,0.24964579690612246,0.26781539125457743,0.26781539125457743,0.26781539125457743,0.26781539125457743,0.25,0.25,0.25,0.25
931,97591.0,"(1035, 567)","[(104, 477), (167, 539), (216, 589), (251, 627), (279, 654), (301, 671), (322, 680), (345, 681), (373, 676), (411, 666), (462, 653), (529, 636), (616, 618), (727, 600), (866, 582), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.01545076371198, 77.65486319844548, 88.03128509223856]",0.2743083838543251,0.2709877055256694,0.2710740912250611,0.27079525231655893,0.25231521859295813,0.24926078158815768,0.24934024115960443,0.24908375865927987,0.2743083838543251,0.2675301868277535,0.29207636351014615,0.267037113348725,0.24915561442209155,0.2429989457082169,0.26529435515608357,0.2425510847136079,0.27566388256469576,0.27566388256469576,0.27566388256469576,0.27566388256469576,0.25,0.25,0.25,0.25
932,108731.00000000001,"(1035, 567)","[(104, 477), (254, 498), (363, 515), (435, 529), (480, 539), (502, 546), (509, 551), (509, 553), (507, 555), (511, 555), (527, 555), (562, 555), (624, 556), (719, 558), (853, 561), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.846774578685963, 69.83294404962444, 78.79729845681209, 88.03128509223856]",0.27267007161113943,0.27081238751104836,0.2709706166330482,0.27080170041571977,0.2512498240949338,0.24953807479801254,0.2496838738541182,0.24952822725293536,0.27267007161113943,0.2816863540958843,0.272686844343538,0.27370110948424226,0.24771425290072807,0.2559053303682826,0.24772949052783788,0.24865092620315143,0.2735915364904733,0.2735915364904733,0.2735915364904733,0.2735915364904733,0.25,0.25,0.25,0.25
933,84363.0,"(1035, 567)","[(104, 477), (138, 557), (189, 619), (253, 665), (328, 696), (411, 714), (498, 721), (588, 718), (677, 708), (762, 692), (840, 671), (910, 648), (966, 625), (1008, 602), (1032, 582), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 31.304897238059787, 34.93043850336771, 74.55302324209205, 79.65587302846737, 83.76826532417455, 86.61948725597348, 88.03128509223856]",0.273301198205827,0.270570081121726,0.27077499679987455,0.27060295569164294,0.251832657598592,0.24931607707125714,0.2495048960744322,0.24934636925571863,0.273301198205827,0.2709914768236788,0.2713018925957435,0.27116517653296557,0.25148262960137646,0.24935730117017177,0.2496429353903693,0.24951713383808247,0.27496012857563457,0.27496012857563457,0.27496012857563457,0.27496012857563457,0.25,0.25,0.25,0.25
934,77503.0,"(1035, 567)","[(104, 477), (145, 419), (193, 388), (248, 380), (309, 392), (374, 417), (442, 454), (513, 496), (585, 541), (657, 584), (728, 621), (797, 647), (864, 659), (926, 653), (983, 623), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 30.786404504668784, 31.915092248431364, 33.083724278148445, 34.47913890321052, 70.7936274872082, 75.07971536476404, 80.73050673397066, 88.03128509223856]",0.2726600772594464,0.2707741542792603,0.27111226151029644,0.2709337870087049,0.2511884207099099,0.2494510119196868,0.2497624936087122,0.24959807376169107,0.2726600772594464,0.2718727750599815,0.27165416925872116,0.27165569515226107,0.25064292205673444,0.2499191940881994,0.2497182405883062,0.24971964326676,0.2738810814848375,0.2738810814848375,0.2738810814848375,0.2738810814848375,0.25,0.25,0.25,0.25
